sector,item,geography,value,units,data_frequency,wchange,mchange,qchange,yrchange,fiveyrchange,data_date
hort_summer,raspberry,England,13.0,£/kg,monthly,,-0.76%,,53%,,Nov-25
arable,ni_potato_processing,Northern Ireland,236.0,£/t,monthly,,-2.90%,,-2.60%,,Nov-25
arable,ni_potato_washing,Northern Ireland,286.0,£/t,monthly,,-10%,,-8.10%,,Nov-25
arable,oilseed_rape,England,412.0,£/t,monthly,,3.30%,,-1.80%,,Nov-25
dairy,ampe,United Kingdom,34.0,p/l,monthly,,-6.30%,,-31%,,Nov-25
dairy,bulk_cream,United Kingdom,1752.0,£/t,monthly,,-12%,,-43%,-20%,Nov-25
dairy,mcve,United Kingdom,35.0,p/l,monthly,,-4.70%,,-30%,,Nov-25
hort_winter,apple,England,1.2,£/kg,monthly,,-4.60%,,-2.10%,,Nov-25
hort_winter,brussels_sprouts,England,1.0,£/kg,monthly,,0.05%,,7.70%,,Nov-25
hort_winter,cabbage_white,England,0.55,£/kg,monthly,,4.10%,,4.40%,,Nov-25
hort_winter,carrot,England,0.53,£/kg,monthly,,2.80%,,11%,,Nov-25
hort_winter,cauliflower,England,0.85,£/head,monthly,,-14%,,19%,,Nov-25
hort_winter,onion,England,0.61,£/kg,monthly,,-4.10%,,6.20%,,Nov-25
hort_winter,swede,England,0.25,£/kg,monthly,,-3.30%,,-22%,,Nov-25
poultry,eu_broilers,European Union,286.0,€/100kg,weekly (monthly average),,-6.50%,,3.30%,,Nov-25
poultry,female_broiler_breeders_chicks_placed_weekly_average,United Kingdom,0.07,Chicks (m),monthly,,22%,,-47%,-45%,Oct-25
poultry,female_broiler_breeders_chicks_placed_weekly_average,United Kingdom,0.07,Chicks (m),monthly,,22%,,-47%,-41%,Oct-25
arable,ni_potato_processing,Northern Ireland,243.0,£/t,monthly,,8.40%,,2.70%,,Oct-25
arable,ni_potato_washing,Northern Ireland,318.0,£/t,monthly,,-2.90%,,1.20%,,Oct-25
beef,monthly_cows_deadweight_gb,Great Britain,520.0,p/kg,monthly,,1.70%,,47%,72%,Oct-25
beef,monthly_prime_cattle_deadweight_gb,Great Britain,648.0,p/kg,monthly,,1.40%,,27%,47%,Oct-25
beef,weekly_average_beef_veal_production,United Kingdom,19.0,Tonnes (th),monthly (weekly average),,3.90%,,-6.10%,0.12%,Oct-25
beef,weekly_average_prime_cattle_slaughter,United Kingdom,40.0,Head (th),monthly (weekly average),,0.81%,,-8.60%,-1.20%,Oct-25
dairy,uk_fg_milk_price,United Kingdom,47.0,p/l,monthly,,1.10%,,2.40%,19%,Oct-25
dairy,weekly_average_uk_volume,United Kingdom,296.0,Litres (m),monthly,,3.80%,,7.00%,8.90%,Oct-25
eggs,weekly_average_commercial_layers_chicks_placed,United Kingdom,0.83,Chicks (m),monthly,,18%,,3.30%,6.90%,Oct-25
eggs,weekly_average_commercial_layers_eggs_set,United Kingdom,2.1,Eggs (m),monthly,,-9.80%,,9.60%,6.00%,Oct-25
pigs,monthly_spp_deadweight_gb,Great Britain,204.0,p/kg,monthly,,-1.30%,,-1.60%,9.40%,Oct-25
pigs,weekly_average_clean_pig_slaughter,United Kingdom,214.0,Head (th),monthly (weekly average),,5.20%,,2.00%,0.34%,Oct-25
pigs,weekly_average_pigmeat_production,United Kingdom,20.0,Tonnes (th),monthly (weekly average),,7.00%,,3.80%,2.40%,Oct-25
poultry,boiling_fowl_slaughter_weekly_average,United Kingdom,0.6,Birds (m),monthly,,-13%,,19%,-25%,Oct-25
poultry,broiler_breeders_eggs_set_weekly_average,United Kingdom,1.4,Eggs (m),monthly,,-15%,,4.10%,3.00%,Oct-25
poultry,broiler_slaughter_weekly_average,United Kingdom,22.0,Birds (m),monthly,,-0.40%,,-0.69%,5.80%,Oct-25
poultry,commercial_broilers_chicks_placed_weekly_average,United Kingdom,22.0,Chicks (m),monthly,,0.37%,,0.26%,0.60%,Oct-25
poultry,commercial_broilers_eggs_set_weekly_average,United Kingdom,25.0,Eggs (m),monthly,,-3.20%,,3.20%,3.80%,Oct-25
poultry,female_broiler_breeders_chicks_placed_weekly_average,United Kingdom,0.02,Chicks (m),monthly,,-32%,,-82%,-81%,Oct-25
poultry,poultry_meat_weekly_average,United Kingdom,38.0,Tonnes (th),monthly,,-0.41%,,2.20%,2.20%,Oct-25
poultry,turkey_slaughter_weekly_average,United Kingdom,0.11,Birds (m),monthly,,-12%,,-21%,-36%,Oct-25
poultry,turkeys_chicks_placed_weekly_average,United Kingdom,0.16,Chicks (m),monthly,,-32%,,0.62%,-19%,Oct-25
poultry,turkeys_eggs_set_weekly_average,United Kingdom,0.18,Eggs (m),monthly,,-22%,,-4.10%,-24%,Oct-25
sheep,monthly_lamb_hogget_ni,Northern Ireland,612.0,p/kg,monthly,,-1.50%,,5.20%,26%,Oct-25
sheep,monthly_sqq_clean_lambs_gb,Great Britain,666.0,p/kg,monthly,,-0.76%,,7.70%,25%,Oct-25
sheep,weekly_average_clean_sheep_slaughter,United Kingdom,219.0,Head (th),monthly (weekly average),,2.60%,,-9.90%,-15%,Oct-25
sheep,weekly_average_mutton_lamb_production,United Kingdom,5.1,Tonnes (th),monthly (weekly average),,2.20%,,-8.30%,-13%,Oct-25
poultry,female_broiler_breeders_chicks_placed_weekly_average,United Kingdom,0.07,Chicks (m),monthly,,22%,,-47%,-41%,October 2025
eggs,barn_prod,United Kingdom,18.0,m doz,quarterly,,,3.80%,-7.50%,,Q1 2026
eggs,enriched_price,United Kingdom,106.0,p/dozen,quarterly,,,6.80%,5.10%,,Q1 2026
eggs,enriched_prod,United Kingdom,40.0,m doz,quarterly,,,-12%,-16%,,Q1 2026
eggs,free_range_price,United Kingdom,162.0,p/dozen,quarterly,,,1.20%,0.90%,,Q1 2026
eggs,free_range_prod,United Kingdom,206.0,m doz,quarterly,,,3.10%,14%,,Q1 2026
eggs,organic_prod,United Kingdom,9.1,m doz,quarterly,,,-8.20%,-6.50%,,Q1 2026
eggs,total_price,United Kingdom,154.0,p/dozen,quarterly,,,3.10%,3.90%,,Q1 2026
eggs,total_prod,United Kingdom,273.0,m doz,quarterly,,,0.30%,6.00%,,Q1 2026
eggs,enriched_prod,United Kingdom,40.0,m doz,quarterly,,,-12.00%,-16%,,Q1 2026
eggs,barn_prod,United Kingdom,22.0,m doz,quarterly,,,8.00%,30%,,Q3 2025
eggs,enriched_price,United Kingdom,104.0,p/dozen,quarterly,,,0.97%,5.10%,,Q3 2025
eggs,enriched_prod,United Kingdom,47.0,m doz,quarterly,,,-2.10%,-14%,,Q3 2025
eggs,free_range_price,United Kingdom,159.0,p/dozen,quarterly,,,-0.81%,-0.20%,,Q3 2025
eggs,free_range_prod,United Kingdom,189.0,m doz,quarterly,,,2.30%,8.20%,,Q3 2025
eggs,organic_prod,United Kingdom,10.0,m doz,quarterly,,,3.50%,12%,,Q3 2025
eggs,total_price,United Kingdom,148.0,p/dozen,quarterly,,,-0.44%,1.80%,,Q3 2025
eggs,total_prod,United Kingdom,268.0,m doz,quarterly,,,2.00%,5.10%,,Q3 2025
eggs,barn_prod,United Kingdom,22.0,m doz,quarterly,,,-0.56%,28%,,Q4 2025
eggs,enriched_price,United Kingdom,99.0,p/dozen,quarterly,,,-4.20%,0.79%,,Q4 2025
eggs,enriched_prod,United Kingdom,44.0,m doz,quarterly,,,-6.50%,-16%,,Q4 2025
eggs,free_range_price,United Kingdom,159.0,p/dozen,quarterly,,,0.11%,-0.67%,,Q4 2025
eggs,free_range_prod,United Kingdom,197.0,m doz,quarterly,,,4.20%,12%,,Q4 2025
eggs,organic_prod,United Kingdom,9.7,m doz,quarterly,,,-4.50%,5.10%,,Q4 2025
eggs,total_price,United Kingdom,149.0,p/dozen,quarterly,,,0.26%,1.20%,,Q4 2025
eggs,total_prod,United Kingdom,273.0,m doz,quarterly,,,1.60%,7.00%,,Q4 2025
eggs,enriched_price,United Kingdom,99.0,p/dozen,quarterly,,,-4.2%,0.79%,,Q4 2025
eggs,enriched_prod,United Kingdom,44.0,m doz,quarterly,,,-6.5%,-16%,,Q4 2025
eggs,free_range_prod,United Kingdom,197.0,m doz,quarterly,,,4.2%,12%,,Q4 2025
eggs,organic_prod,United Kingdom,9.7,m doz,quarterly,,,-4.5%,5.1%,,Q4 2025
eggs,total_price,United Kingdom,149.0,p/dozen,quarterly,,,0.26%,1.2%,,Q4 2025
eggs,total_prod,United Kingdom,273.0,m doz,quarterly,,,1.6%,7.0%,,Q4 2025
